Date,Suhu_Rata_rata,Kelembaban_Rata_rata,Curah_Hujan,Kecepatan_Angin_Rata_rata
2014-02-05,27.9,84,0,2
2014-02-06,28.7,79,0,3
2014-02-07,28.3,83,0,3
2014-02-08,26.8,88,23,4
2014-02-09,28.5,79,0,4
2014-02-10,28.7,83,0,3
2014-02-11,27.9,81,10,6
2014-02-12,28.9,77,25,2
2014-02-13,27.8,82,0,4
2014-02-14,26.8,85,2,4
2014-02-15,26,84,2,4
2014-02-16,26.7,82,14,3
2014-02-17,25.6,86,16,3
2014-02-18,27.3,76,8,2
2014-02-19,25.3,86,3,5
2014-02-20,27.1,82,4,4
2014-02-21,27,83,2,4
2014-02-22,26,86,5,4
2014-02-23,26.1,85,42,3
2014-02-24,26.7,84,5,2
2014-02-25,27,79,0,3
2014-02-26,27.6,78,0,3
2014-02-27,28.1,79,46,2
2014-02-28,27.4,82,8,2
2014-03-01,27.4,81,0,2
2014-03-02,27.2,78,0,2
2014-03-03,27.8,77,0,2
2014-03-04,27.9,78,8888,2
2014-03-05,27.8,78,0,2
2014-03-06,27.9,78,0,3
2014-03-07,27.9,75,0,2
2014-03-08,27.5,75,0,3
2014-03-09,27.5,76,0,3
2014-03-10,28.2,78,0,2
2014-03-11,27.9,80,0,2
2014-03-12,28.1,80,0,3
2014-03-13,27.4,84,2,2
2014-03-14,27.5,80,1,2
2014-03-15,27.5,80,0,2
2014-03-16,28.2,80,0,2
2014-03-17,27.8,80,0,2
2014-03-18,28.2,78,0,2
2014-03-19,27.6,80,0,3
2014-03-20,25.2,90,13,2
2014-03-21,27.1,86,41,2
2014-03-22,27.8,83,8888,3
2014-03-23,27.9,82,0,3
2014-03-24,27.3,79,0,3
2014-03-25,27.7,75,0,3
2014-03-26,27.7,79,0,2
2014-03-27,27.9,80,0,3
2014-03-28,28.4,81,0,2
2014-03-29,27.7,77,0,3
2014-03-30,27.8,81,0,3
2014-03-31,27.9,80,0,3
2014-04-01,28.4,84,0,3
2014-04-02,28.1,82,0,2
2014-04-03,27.8,88,3,3
2014-04-04,27.9,83,11,2
2014-04-05,27.6,82,3,2
2014-04-06,27.6,84,0,2
2014-04-07,27.5,85,0,3
2014-04-08,27.5,81,8888,4
2014-04-09,27.8,80,1,3
2014-04-10,27,80,0,2
2014-04-11,27.6,82,0,3
2014-04-12,28.4,74,0,4
2014-04-13,28,81,0,3
2014-04-14,27.5,78,0,2
2014-04-15,27.6,83,0,2
2014-04-16,27.2,76,2,2
2014-04-17,27.3,80,1,2
2014-04-18,27.6,81,2,2
2014-04-19,27.1,85,4,2
2014-04-20,27.6,80,1,2
2014-04-21,27.8,77,0,2
2014-04-22,28.3,81,0,2
2014-04-23,28.7,78,0,2
2014-04-24,28.3,80,0,2
2014-04-25,28.2,80,2,2
2014-04-26,28.3,83,0,3
2014-04-27,28.6,82,0,2
2014-04-28,28.1,77,0,2
2014-04-29,27,74,0,2
2014-04-30,28.1,74,0,2
2014-05-01,27.9,76,0,2
2014-05-02,27.6,80,0,3
2014-05-03,28.4,80,0,2
2014-05-04,27.6,74,0,3
2014-05-05,27.4,77,0,3
2014-05-06,28.1,72,0,3
2014-05-07,28.1,76,0,3
2014-05-08,28.3,80,8888,3
2014-05-09,28.9,74,0,3
2014-05-10,27.9,78,0,3
2014-05-11,28,78,0,3
2014-05-12,27.7,83,9,3
2014-05-13,28.1,85,6,4
2014-05-14,27.9,79,0,3
2014-05-15,27.7,80,0,3
2014-05-16,27.6,83,3,4
2014-05-17,27.4,80,0,3
2014-05-18,27.2,78,0,2
2014-05-19,27.7,82,0,2
2014-05-20,27.4,83,8888,2
2014-05-21,27.8,83,4,3
2014-05-22,28,80,0,4
2014-05-23,27.1,82,0,4
2014-05-24,27.4,85,2,3
2014-05-25,27.8,80,0,3
2014-05-26,28.1,82,0,4
2014-05-27,28.8,78,0,4
2014-05-28,27.8,84,3,4
2014-05-29,27.4,83,1,4
2014-05-30,26.5,76,0,3
2014-05-31,26.6,76,8888,2
2014-06-01,26.7,84,0,3
2014-06-02,26.9,84,0,3
2014-06-03,27.8,83,0,4
2014-06-04,28.4,81,0,5
2014-06-05,28.6,78,0,6
2014-06-06,28.5,78,0,5
2014-06-07,28.5,77,0,6
2014-06-08,28.4,79,0,5
2014-06-09,28,81,0,4
2014-06-10,27.8,86,4,3
2014-06-11,28,82,6,2
2014-06-12,27.5,79,0,4
2014-06-13,27.5,72,0,5
2014-06-14,27.3,74,0,5
2014-06-15,27.2,77,0,5
2014-06-16,27,82,0,6
2014-06-17,27,82,0,5
2014-06-18,26.8,84,0,5
2014-06-19,27.2,81,0,5
2014-06-20,27.1,80,0,5
2014-06-21,27.5,82,0,3
2014-06-22,26.9,87,8888,2
2014-06-23,26.9,82,0,4
2014-06-24,27.8,79,0,5
2014-06-25,27.7,80,0,6
2014-06-26,27.4,82,0,5
2014-06-27,27.1,74,0,4
2014-06-28,27.2,74,0,5
2014-06-29,26.4,72,8888,5
2014-06-30,26.4,78,0,4
2014-07-01,27.1,79,8888,5
2014-07-02,26.7,78,0,5
2014-07-03,26.7,76,0,5
2014-07-04,26.9,77,0,5
2014-07-05,27.3,77,0,6
2014-07-06,27.2,79,8888,5
2014-07-07,27.4,78,0,5
2014-07-08,25.9,78,13,5
2014-07-09,26.4,71,26,3
2014-07-10,25.6,80,0,4
2014-07-11,26.3,83,2,3
2014-07-12,26.5,84,0,3
2014-07-13,26.5,80,0,3
2014-07-14,26,77,3,3
2014-07-15,25,72,0,3
2014-07-16,23.5,71,0,2
2014-07-17,25.3,78,0,2
2014-07-18,26,86,0,2
2014-07-19,25.9,86,8888,2
2014-07-20,26,85,0,3
2014-07-21,25.4,85,0,3
2014-07-22,26.5,82,0,4
2014-07-23,26.9,72,0,4
2014-07-24,25.3,80,0,5
2014-07-25,26.7,72,2,5
2014-07-26,25.6,75,0,4
2014-07-27,25.9,78,0,5
2014-07-28,26.8,72,8888,5
2014-07-29,26.5,77,1,5
2014-07-30,26.3,80,1,5
2014-07-31,26.7,78,0,5
2014-08-01,26.9,80,0,5
2014-08-02,27.1,78,0,5
2014-08-03,27.3,79,0,5
2014-08-04,26.3,82,0,5
2014-08-05,27.1,84,3,6
2014-08-06,27,76,0,5
2014-08-07,27,79,0,5
2014-08-08,26.9,76,0,5
2014-08-09,27.1,77,0,5
2014-08-10,26.8,78,2,6
2014-08-11,26.5,73,0,5
2014-08-12,26.2,73,0,5
2014-08-13,26.2,77,0,5
2014-08-14,26.3,76,0,5
2014-08-15,25.8,76,0,6
2014-08-16,25.5,70,0,5
2014-08-17,25.5,73,0,5
2014-08-18,25.7,76,8888,4
2014-08-19,26.3,76,8888,5
2014-08-20,26.6,78,0,5
2014-08-21,26.6,77,0,5
2014-08-22,26.6,76,0,5
2014-08-23,26.7,76,0,5
2014-08-24,26.3,71,0,5
2014-08-25,26,69,0,5
2014-08-26,26.2,73,0,4
2014-08-27,25.5,74,0,4
2014-08-28,25.3,78,0,4
2014-08-29,25.9,76,0,4
2014-08-30,25.9,77,0,4
2014-08-31,24.3,78,0,3
2014-09-01,24.2,81,0,4
2014-09-02,25.3,76,0,3
2014-09-03,24.7,74,0,4
2014-09-04,26.5,70,0,4
2014-09-05,25,73,0,3
2014-09-06,25.5,74,0,4
2014-09-07,24.9,77,0,4
2014-09-08,25.6,72,0,3
2014-09-09,24.4,74,0,4
2014-09-10,26.1,74,0,4
2014-09-11,26,73,0,3
2014-09-12,25.5,78,0,3
2014-09-13,25.8,80,0,2
2014-09-14,25.6,77,0,2
2014-09-15,25.9,80,8888,2
2014-09-16,25.7,76,0,3
2014-09-17,26.2,78,0,4
2014-09-18,27.3,78,0,4
2014-09-19,27.4,78,0,5
2014-09-20,27.5,74,0,4
2014-09-21,27.2,74,0,4
2014-09-22,26.5,73,0,4
2014-09-23,27.1,74,0,4
2014-09-24,27.1,71,0,3
2014-09-25,25.9,73,0,2
2014-09-26,25.5,68,0,2
2014-09-27,26.5,79,0,2
2014-09-28,27,79,0,3
2014-09-29,27.2,79,0,3
2014-09-30,27.3,76,0,3
2014-10-01,26.6,77,0,3
2014-10-02,25.8,85,0,3
2014-10-03,27.7,74,0,3
2014-10-04,27.2,79,0,2
2014-10-05,27.1,78,0,3
2014-10-06,27.1,73,0,3
2014-10-07,27.2,73,0,3
2014-10-08,26.1,80,0,4
2014-10-09,26.3,79,0,3
2014-10-10,26.8,78,0,3
2014-10-11,26.9,80,0,3
2014-10-12,26.7,82,0,3
2014-10-13,27.7,79,0,2
2014-10-14,27.1,77,0,2
